prop_id,player_name,prop_type,line,odds,pick,edge,confidence,projection,probability,injury_status,injury_source,trend,avg_5,avg_10,avg_15,streak,hit_rate_10,samples_10,hit_rate_15,samples_15
8a59c926ad0214ec:assists:7.5:over,Darius Garland,assists,7.5,105,PASS,-0.2009,0.4262,6.58,0.2869,,,FLAT,6.6,7.0,6.538461538461538,0,,0,,0
8a59c926ad0214ec:assists:7.5:under,Darius Garland,assists,7.5,-139,UNDER,0.1315,0.4262,6.58,0.7131,,,FLAT,6.6,7.0,6.538461538461538,-1,0.5,10,0.5385,13
facb6803046eab5c:assists:3.5:over,Brandon Miller,assists,3.5,-121,OVER,0.1983,0.4916,4.19,0.7458,,,UP,4.6,3.5,3.5833333333333335,-1,0.4,10,0.4167,12
facb6803046eab5c:assists:3.5:under,Brandon Miller,assists,3.5,-110,PASS,-0.2696,0.4916,4.19,0.2542,,,UP,4.6,3.5,3.5833333333333335,0,,0,,0
440168766d15343b:assists:3.5:over,Kon Knueppel,assists,3.5,-110,PASS,-0.0238,0.2,3.5,0.5,,,UNKNOWN,,,,0,,0,,0
440168766d15343b:assists:3.5:under,Kon Knueppel,assists,3.5,-121,PASS,-0.0475,0.2,3.5,0.5,,,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:assists:3.5:over,Miles Bridges,assists,3.5,134,PASS,0.0726,0.2,3.5,0.5,,,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:assists:3.5:under,Miles Bridges,assists,3.5,-175,PASS,-0.1364,0.2,3.5,0.5,,,UNKNOWN,,,,0,,0,,0
335aba9590921564:assists:3.5:over,Lonzo Ball,assists,3.5,-159,PASS,-0.1139,0.2,3.5,0.5,,,UNKNOWN,,,,0,,0,,0
335aba9590921564:assists:3.5:under,Lonzo Ball,assists,3.5,119,PASS,0.0434,0.2,3.5,0.5,,,UNKNOWN,,,,0,,0,,0
220e544c0e1716ed:assists:5.5:over,Donovan Mitchell,assists,5.5,-130,PASS,-0.0874,0.15,5.42,0.4778,PROBABLE,NBA Official Report,FLAT,5.4,5.7,5.466666666666667,0,,0,,0
220e544c0e1716ed:assists:5.5:under,Donovan Mitchell,assists,5.5,-103,PASS,0.0148,0.15,5.42,0.5222,PROBABLE,NBA Official Report,FLAT,5.4,5.7,5.466666666666667,0,,0,,0
a7dee1eef19c56f4:assists:7.5:over,LaMelo Ball,assists,7.5,-114,PASS,-0.0327,0.15,7.5,0.5,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
a7dee1eef19c56f4:assists:7.5:under,LaMelo Ball,assists,7.5,-117,PASS,-0.0392,0.15,7.5,0.5,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
b08b695cba57a107:points:7.5:over,Ryan Kalkbrenner,points,7.5,-106,PASS,-0.0146,0.1,7.5,0.5,QUESTIONABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
b08b695cba57a107:points:7.5:under,Ryan Kalkbrenner,points,7.5,-125,PASS,-0.0556,0.1,7.5,0.5,QUESTIONABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
220e544c0e1716ed:points:30.5:over,Donovan Mitchell,points,30.5,-102,PASS,0.0092,0.15,30.77,0.5141,PROBABLE,NBA Official Report,FLAT,30.8,30.7,30.933333333333334,0,,0,,0
220e544c0e1716ed:points:30.5:under,Donovan Mitchell,points,30.5,-127,PASS,-0.0736,0.15,30.77,0.4859,PROBABLE,NBA Official Report,FLAT,30.8,30.7,30.933333333333334,0,,0,,0
1632dad36b5e936c:points:6.5:over,Dean Wade,points,6.5,-117,PASS,-0.45,0.8216,4.86,0.0892,,,FLAT,4.6,5.2,4.933333333333334,0,,0,,0
1632dad36b5e936c:points:6.5:under,Dean Wade,points,6.5,-114,UNDER,0.3781,0.8216,4.86,0.9108,,,FLAT,4.6,5.2,4.933333333333334,2,0.7,10,0.8,15
e300be223d9124fe:points:5.5:over,Sion James,points,5.5,-104,PASS,-0.0098,0.2,5.5,0.5,,,UNKNOWN,,,,0,,0,,0
e300be223d9124fe:points:5.5:under,Sion James,points,5.5,-129,PASS,-0.0633,0.2,5.5,0.5,,,UNKNOWN,,,,0,,0,,0
facb6803046eab5c:points:19.5:over,Brandon Miller,points,19.5,-114,PASS,-0.0633,0.2,19.13,0.4694,,,UP,20.0,18.5,17.833333333333332,0,,0,,0
facb6803046eab5c:points:19.5:under,Brandon Miller,points,19.5,-117,PASS,-0.0086,0.2,19.13,0.5306,,,UP,20.0,18.5,17.833333333333332,0,,0,,0
0fcc97fb82556cb2:points:13.5:over,Jaylon Tyson,points,13.5,-124,PASS,-0.0536,0.2,13.5,0.5,,,UNKNOWN,,,,0,,0,,0
0fcc97fb82556cb2:points:13.5:under,Jaylon Tyson,points,13.5,-108,PASS,-0.0192,0.2,13.5,0.5,,,UNKNOWN,,,,0,,0,,0
9ea8ae204f976e4e:points:7.5:over,Sam Merrill,points,7.5,-108,PASS,-0.0192,0.15,7.5,0.5,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
9ea8ae204f976e4e:points:7.5:under,Sam Merrill,points,7.5,-124,PASS,-0.0536,0.15,7.5,0.5,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
440168766d15343b:points:18.5:over,Kon Knueppel,points,18.5,-120,PASS,-0.0455,0.2,18.5,0.5,,,UNKNOWN,,,,0,,0,,0
440168766d15343b:points:18.5:under,Kon Knueppel,points,18.5,-112,PASS,-0.0283,0.2,18.5,0.5,,,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:points:18.5:over,Miles Bridges,points,18.5,-114,PASS,-0.0327,0.2,18.5,0.5,,,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:points:18.5:under,Miles Bridges,points,18.5,-117,PASS,-0.0392,0.2,18.5,0.5,,,UNKNOWN,,,,0,,0,,0
0aa082da5aeeb340:points:6.5:over,Moussa Diabate,points,6.5,-128,PASS,-0.0614,0.2,6.5,0.5,,,UNKNOWN,,,,0,,0,,0
0aa082da5aeeb340:points:6.5:under,Moussa Diabate,points,6.5,-104,PASS,-0.0098,0.2,6.5,0.5,,,UNKNOWN,,,,0,,0,,0
ada18546837dac41:points:15.5:over,Jarrett Allen,points,15.5,-108,PASS,-0.0192,0.2,15.5,0.5,,,UNKNOWN,,,,0,,0,,0
ada18546837dac41:points:15.5:under,Jarrett Allen,points,15.5,-122,PASS,-0.0495,0.2,15.5,0.5,,,UNKNOWN,,,,0,,0,,0
d6fa084d1a037f96:points:13.5:over,De'Andre Hunter,points,13.5,-103,PASS,-0.2262,0.4377,11.79,0.2812,,,DOWN,9.6,10.6,12.533333333333333,0,,0,,0
d6fa084d1a037f96:points:13.5:under,De'Andre Hunter,points,13.5,-130,UNDER,0.1536,0.4377,11.79,0.7188,,,DOWN,9.6,10.6,12.533333333333333,3,0.8,10,0.6667,15
335aba9590921564:points:6.5:over,Lonzo Ball,points,6.5,-111,PASS,-0.0261,0.2,6.5,0.5,,,UNKNOWN,,,,0,,0,,0
335aba9590921564:points:6.5:under,Lonzo Ball,points,6.5,-121,PASS,-0.0475,0.2,6.5,0.5,,,UNKNOWN,,,,0,,0,,0
8a59c926ad0214ec:points:20.5:over,Darius Garland,points,20.5,-124,PASS,-0.0862,0.2,20.09,0.4674,,,UP,22.2,18.1,16.923076923076923,0,,0,,0
8a59c926ad0214ec:points:20.5:under,Darius Garland,points,20.5,-108,PASS,0.0134,0.2,20.09,0.5326,,,UP,22.2,18.1,16.923076923076923,0,,0,,0
a7dee1eef19c56f4:points:19.5:over,LaMelo Ball,points,19.5,-120,PASS,-0.0455,0.15,19.5,0.5,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
a7dee1eef19c56f4:points:19.5:under,LaMelo Ball,points,19.5,-112,PASS,-0.0283,0.15,19.5,0.5,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
facb6803046eab5c:pra:27.5:over,Brandon Miller,pra,27.5,-122,PASS,0.0422,0.2,29.19,0.5917,,,UP,31.6,27.0,25.583333333333332,0,,0,,0
facb6803046eab5c:pra:27.5:under,Brandon Miller,pra,27.5,-106,PASS,-0.1063,0.2,29.19,0.4083,,,UP,31.6,27.0,25.583333333333332,0,,0,,0
0fcc97fb82556cb2:pra:22.5:over,Jaylon Tyson,pra,22.5,-108,PASS,-0.0192,0.2,22.5,0.5,,,UNKNOWN,,,,0,,0,,0
0fcc97fb82556cb2:pra:22.5:under,Jaylon Tyson,pra,22.5,-120,PASS,-0.0455,0.2,22.5,0.5,,,UNKNOWN,,,,0,,0,,0
220e544c0e1716ed:pra:40.5:over,Donovan Mitchell,pra,40.5,-110,PASS,-0.0612,0.15,39.57,0.4626,PROBABLE,NBA Official Report,DOWN,38.8,40.2,40.93333333333333,0,,0,,0
220e544c0e1716ed:pra:40.5:under,Donovan Mitchell,pra,40.5,-118,PASS,-0.0039,0.15,39.57,0.5374,PROBABLE,NBA Official Report,DOWN,38.8,40.2,40.93333333333333,0,,0,,0
2a4f649870db0148:pra:26.5:over,Miles Bridges,pra,26.5,-122,PASS,-0.0495,0.2,26.5,0.5,,,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:pra:26.5:under,Miles Bridges,pra,26.5,-108,PASS,-0.0192,0.2,26.5,0.5,,,UNKNOWN,,,,0,,0,,0
e300be223d9124fe:pra:9.5:over,Sion James,pra,9.5,-132,PASS,-0.069,0.2,9.5,0.5,,,UNKNOWN,,,,0,,0,,0
e300be223d9124fe:pra:9.5:under,Sion James,pra,9.5,102,PASS,0.005,0.2,9.5,0.5,,,UNKNOWN,,,,0,,0,,0
ada18546837dac41:pra:27.5:over,Jarrett Allen,pra,27.5,-106,PASS,-0.0146,0.2,27.5,0.5,,,UNKNOWN,,,,0,,0,,0
ada18546837dac41:pra:27.5:under,Jarrett Allen,pra,27.5,-125,PASS,-0.0556,0.2,27.5,0.5,,,UNKNOWN,,,,0,,0,,0
d6fa084d1a037f96:pra:18.5:over,De'Andre Hunter,pra,18.5,-120,PASS,-0.1597,0.2285,17.25,0.3858,,,DOWN,14.4,15.3,17.933333333333334,0,,0,,0
d6fa084d1a037f96:pra:18.5:under,De'Andre Hunter,pra,18.5,-108,PASS,0.095,0.2285,17.25,0.6142,,,DOWN,14.4,15.3,17.933333333333334,0,,0,,0
335aba9590921564:pra:14.5:over,Lonzo Ball,pra,14.5,-122,PASS,-0.0495,0.2,14.5,0.5,,,UNKNOWN,,,,0,,0,,0
335aba9590921564:pra:14.5:under,Lonzo Ball,pra,14.5,-106,PASS,-0.0146,0.2,14.5,0.5,,,UNKNOWN,,,,0,,0,,0
8a59c926ad0214ec:pra:31.5:over,Darius Garland,pra,31.5,-108,PASS,-0.1037,0.2,29.9,0.4155,,,UP,32.2,28.1,26.46153846153846,0,,0,,0
8a59c926ad0214ec:pra:31.5:under,Darius Garland,pra,31.5,-120,PASS,0.039,0.2,29.9,0.5845,,,UP,32.2,28.1,26.46153846153846,0,,0,,0
440168766d15343b:pra:27.5:over,Kon Knueppel,pra,27.5,-111,PASS,-0.0261,0.2,27.5,0.5,,,UNKNOWN,,,,0,,0,,0
440168766d15343b:pra:27.5:under,Kon Knueppel,pra,27.5,-116,PASS,-0.037,0.2,27.5,0.5,,,UNKNOWN,,,,0,,0,,0
a7dee1eef19c56f4:pra:32.5:over,LaMelo Ball,pra,32.5,-108,PASS,-0.0192,0.15,32.5,0.5,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
a7dee1eef19c56f4:pra:32.5:under,LaMelo Ball,pra,32.5,-120,PASS,-0.0455,0.15,32.5,0.5,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
b08b695cba57a107:rebounds:6.5:over,Ryan Kalkbrenner,rebounds,6.5,-104,PASS,-0.0098,0.1,6.5,0.5,QUESTIONABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
b08b695cba57a107:rebounds:6.5:under,Ryan Kalkbrenner,rebounds,6.5,-129,PASS,-0.0633,0.1,6.5,0.5,QUESTIONABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
220e544c0e1716ed:rebounds:4.5:over,Donovan Mitchell,rebounds,4.5,113,PASS,-0.3391,0.6892,3.38,0.1304,PROBABLE,NBA Official Report,DOWN,2.6,3.8,4.533333333333333,0,,0,,0
220e544c0e1716ed:rebounds:4.5:under,Donovan Mitchell,rebounds,4.5,-152,UNDER,0.2664,0.6892,3.38,0.8696,PROBABLE,NBA Official Report,DOWN,2.6,3.8,4.533333333333333,5,0.7,10,0.5333,15
e300be223d9124fe:rebounds:2.5:over,Sion James,rebounds,2.5,-132,PASS,-0.069,0.2,2.5,0.5,,,UNKNOWN,,,,0,,0,,0
e300be223d9124fe:rebounds:2.5:under,Sion James,rebounds,2.5,100,PASS,0.0,0.2,2.5,0.5,,,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:rebounds:5.5:over,Miles Bridges,rebounds,5.5,102,PASS,0.005,0.2,5.5,0.5,,,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:rebounds:5.5:under,Miles Bridges,rebounds,5.5,-136,PASS,-0.0763,0.2,5.5,0.5,,,UNKNOWN,,,,0,,0,,0
0fcc97fb82556cb2:rebounds:5.5:over,Jaylon Tyson,rebounds,5.5,-141,PASS,-0.0851,0.2,5.5,0.5,,,UNKNOWN,,,,0,,0,,0
0fcc97fb82556cb2:rebounds:5.5:under,Jaylon Tyson,rebounds,5.5,106,PASS,0.0146,0.2,5.5,0.5,,,UNKNOWN,,,,0,,0,,0
0aa082da5aeeb340:rebounds:7.5:over,Moussa Diabate,rebounds,7.5,-110,PASS,-0.0238,0.2,7.5,0.5,,,UNKNOWN,,,,0,,0,,0
0aa082da5aeeb340:rebounds:7.5:under,Moussa Diabate,rebounds,7.5,-121,PASS,-0.0475,0.2,7.5,0.5,,,UNKNOWN,,,,0,,0,,0
ada18546837dac41:rebounds:8.5:over,Jarrett Allen,rebounds,8.5,-146,PASS,-0.0935,0.2,8.5,0.5,,,UNKNOWN,,,,0,,0,,0
ada18546837dac41:rebounds:8.5:under,Jarrett Allen,rebounds,8.5,111,PASS,0.0261,0.2,8.5,0.5,,,UNKNOWN,,,,0,,0,,0
facb6803046eab5c:rebounds:4.5:over,Brandon Miller,rebounds,4.5,-105,OVER,0.3121,0.6486,5.87,0.8243,,,UP,7.0,5.0,4.166666666666667,5,0.6,10,0.5,12
facb6803046eab5c:rebounds:4.5:under,Brandon Miller,rebounds,4.5,-129,PASS,-0.3876,0.6486,5.87,0.1757,,,UP,7.0,5.0,4.166666666666667,0,,0,,0
440168766d15343b:rebounds:4.5:over,Kon Knueppel,rebounds,4.5,-152,PASS,-0.1032,0.2,4.5,0.5,,,UNKNOWN,,,,0,,0,,0
440168766d15343b:rebounds:4.5:under,Kon Knueppel,rebounds,4.5,114,PASS,0.0327,0.2,4.5,0.5,,,UNKNOWN,,,,0,,0,,0
8a59c926ad0214ec:rebounds:2.5:over,Darius Garland,rebounds,2.5,-182,OVER,0.125,0.5407,3.24,0.7704,,,FLAT,3.4,3.0,3.0,-1,0.5,10,0.4615,13
8a59c926ad0214ec:rebounds:2.5:under,Darius Garland,rebounds,2.5,134,PASS,-0.1977,0.5407,3.24,0.2296,,,FLAT,3.4,3.0,3.0,0,,0,,0
a7dee1eef19c56f4:rebounds:4.5:over,LaMelo Ball,rebounds,4.5,-115,PASS,-0.0349,0.15,4.5,0.5,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
a7dee1eef19c56f4:rebounds:4.5:under,LaMelo Ball,rebounds,4.5,-115,PASS,-0.0349,0.15,4.5,0.5,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
d6fa084d1a037f96:rebounds:3.5:over,De'Andre Hunter,rebounds,3.5,-148,PASS,0.0919,0.3773,3.99,0.6886,,,FLAT,3.8,3.5,3.8666666666666667,0,,0,,0
d6fa084d1a037f96:rebounds:3.5:under,De'Andre Hunter,rebounds,3.5,111,PASS,-0.1626,0.3773,3.99,0.3114,,,FLAT,3.8,3.5,3.8666666666666667,0,,0,,0
335aba9590921564:rebounds:3.5:over,Lonzo Ball,rebounds,3.5,-164,PASS,-0.1212,0.2,3.5,0.5,,,UNKNOWN,,,,0,,0,,0
335aba9590921564:rebounds:3.5:under,Lonzo Ball,rebounds,3.5,123,PASS,0.0516,0.2,3.5,0.5,,,UNKNOWN,,,,0,,0,,0
1632dad36b5e936c:rebounds:4.5:over,Dean Wade,rebounds,4.5,-130,PASS,-0.0777,0.2,4.47,0.4876,,,FLAT,4.8,4.0,4.466666666666667,0,,0,,0
1632dad36b5e936c:rebounds:4.5:under,Dean Wade,rebounds,4.5,-103,PASS,0.0051,0.2,4.47,0.5124,,,FLAT,4.8,4.0,4.466666666666667,0,,0,,0
a7dee1eef19c56f4:threes:2.5:over,LaMelo Ball,threes,2.5,-121,PASS,-0.0475,0.15,2.5,0.5,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
a7dee1eef19c56f4:threes:2.5:under,LaMelo Ball,threes,2.5,-110,PASS,-0.0238,0.15,2.5,0.5,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
facb6803046eab5c:threes:2.5:over,Brandon Miller,threes,2.5,-157,PASS,0.0519,0.3255,2.92,0.6628,,,UP,3.2,2.8,2.5,0,,0,,0
facb6803046eab5c:threes:2.5:under,Brandon Miller,threes,2.5,117,PASS,-0.1236,0.3255,2.92,0.3372,,,UP,3.2,2.8,2.5,0,,0,,0
9ea8ae204f976e4e:threes:1.5:over,Sam Merrill,threes,1.5,-173,PASS,-0.1337,0.15,1.5,0.5,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
9ea8ae204f976e4e:threes:1.5:under,Sam Merrill,threes,1.5,129,PASS,0.0633,0.15,1.5,0.5,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:threes:1.5:over,Miles Bridges,threes,1.5,-190,PASS,-0.1552,0.2,1.5,0.5,,,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:threes:1.5:under,Miles Bridges,threes,1.5,139,PASS,0.0816,0.2,1.5,0.5,,,UNKNOWN,,,,0,,0,,0
e300be223d9124fe:threes:1.5:over,Sion James,threes,1.5,155,PASS,0.1078,0.2,1.5,0.5,,,UNKNOWN,,,,0,,0,,0
e300be223d9124fe:threes:1.5:under,Sion James,threes,1.5,-213,PASS,-0.1805,0.2,1.5,0.5,,,UNKNOWN,,,,0,,0,,0
0fcc97fb82556cb2:threes:1.5:over,Jaylon Tyson,threes,1.5,-130,PASS,-0.0652,0.2,1.5,0.5,,,UNKNOWN,,,,0,,0,,0
0fcc97fb82556cb2:threes:1.5:under,Jaylon Tyson,threes,1.5,-103,PASS,-0.0074,0.2,1.5,0.5,,,UNKNOWN,,,,0,,0,,0
d6fa084d1a037f96:threes:1.5:over,De'Andre Hunter,threes,1.5,-182,PASS,-0.1566,0.2,1.47,0.4888,,,DOWN,1.2,1.3,1.8,0,,0,,0
d6fa084d1a037f96:threes:1.5:under,De'Andre Hunter,threes,1.5,136,PASS,0.0874,0.2,1.47,0.5112,,,DOWN,1.2,1.3,1.8,0,,0,,0
440168766d15343b:threes:3.5:over,Kon Knueppel,threes,3.5,130,PASS,0.0652,0.2,3.5,0.5,,,UNKNOWN,,,,0,,0,,0
440168766d15343b:threes:3.5:under,Kon Knueppel,threes,3.5,-173,PASS,-0.1337,0.2,3.5,0.5,,,UNKNOWN,,,,0,,0,,0
8a59c926ad0214ec:threes:2.5:over,Darius Garland,threes,2.5,-124,PASS,-0.0726,0.2,2.45,0.481,,,FLAT,2.6,2.2,2.230769230769231,0,,0,,0
8a59c926ad0214ec:threes:2.5:under,Darius Garland,threes,2.5,-108,PASS,-0.0002,0.2,2.45,0.519,,,FLAT,2.6,2.2,2.230769230769231,0,,0,,0
1632dad36b5e936c:threes:1.5:over,Dean Wade,threes,1.5,140,PASS,-0.149,0.4647,0.88,0.2676,,,FLAT,0.8,0.9,0.8,0,,0,,0
1632dad36b5e936c:threes:1.5:under,Dean Wade,threes,1.5,-190,UNDER,0.0772,0.4647,0.88,0.7324,,,FLAT,0.8,0.9,0.8,2,0.8,10,0.8667,15
335aba9590921564:threes:1.5:over,Lonzo Ball,threes,1.5,160,PASS,0.1154,0.2,1.5,0.5,,,UNKNOWN,,,,0,,0,,0
335aba9590921564:threes:1.5:under,Lonzo Ball,threes,1.5,-218,PASS,-0.1855,0.2,1.5,0.5,,,UNKNOWN,,,,0,,0,,0
220e544c0e1716ed:threes:3.5:over,Donovan Mitchell,threes,3.5,-137,OVER,0.1525,0.4112,4.14,0.7306,PROBABLE,NBA Official Report,FLAT,4.2,4.1,4.066666666666666,1,0.5,10,0.6,15
220e544c0e1716ed:threes:3.5:under,Donovan Mitchell,threes,3.5,104,PASS,-0.2208,0.4112,4.14,0.2694,PROBABLE,NBA Official Report,FLAT,4.2,4.1,4.066666666666666,0,,0,,0
2a4f649870db0148:assists:2.5:over,Miles Bridges,assists,2.5,-173,PASS,-0.1337,0.2,2.5,0.5,,,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:assists:2.5:under,Miles Bridges,assists,2.5,129,PASS,0.0633,0.2,2.5,0.5,,,UNKNOWN,,,,0,,0,,0
0fcc97fb82556cb2:assists:2.5:over,Jaylon Tyson,assists,2.5,127,PASS,0.0595,0.2,2.5,0.5,,,UNKNOWN,,,,0,,0,,0
0fcc97fb82556cb2:assists:2.5:under,Jaylon Tyson,assists,2.5,-170,PASS,-0.1296,0.2,2.5,0.5,,,UNKNOWN,,,,0,,0,,0
0aa082da5aeeb340:points:7.5:over,Moussa Diabate,points,7.5,101,PASS,0.0025,0.2,7.5,0.5,,,UNKNOWN,,,,0,,0,,0
0aa082da5aeeb340:points:7.5:under,Moussa Diabate,points,7.5,-134,PASS,-0.0726,0.2,7.5,0.5,,,UNKNOWN,,,,0,,0,,0
a7dee1eef19c56f4:pra:31.5:over,LaMelo Ball,pra,31.5,-116,PASS,-0.037,0.15,31.5,0.5,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
a7dee1eef19c56f4:pra:31.5:under,LaMelo Ball,pra,31.5,-114,PASS,-0.0327,0.15,31.5,0.5,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:pra:27.5:over,Miles Bridges,pra,27.5,-112,PASS,-0.0283,0.2,27.5,0.5,,,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:pra:27.5:under,Miles Bridges,pra,27.5,-115,PASS,-0.0349,0.2,27.5,0.5,,,UNKNOWN,,,,0,,0,,0
8a59c926ad0214ec:rebounds:3.5:over,Darius Garland,rebounds,3.5,133,PASS,-0.0318,0.2051,3.24,0.3974,,,FLAT,3.4,3.0,3.0,0,,0,,0
8a59c926ad0214ec:rebounds:3.5:under,Darius Garland,rebounds,3.5,-179,PASS,-0.039,0.2051,3.24,0.6026,,,FLAT,3.4,3.0,3.0,0,,0,,0
335aba9590921564:assists:4.5:over,Lonzo Ball,assists,4.5,130,PASS,0.0652,0.2,4.5,0.5,,,UNKNOWN,,,,0,,0,,0
335aba9590921564:assists:4.5:under,Lonzo Ball,assists,4.5,-169,PASS,-0.1283,0.2,4.5,0.5,,,UNKNOWN,,,,0,,0,,0
0fcc97fb82556cb2:points:14.5:over,Jaylon Tyson,points,14.5,103,PASS,0.0074,0.2,14.5,0.5,,,UNKNOWN,,,,0,,0,,0
0fcc97fb82556cb2:points:14.5:under,Jaylon Tyson,points,14.5,-133,PASS,-0.0708,0.2,14.5,0.5,,,UNKNOWN,,,,0,,0,,0
ada18546837dac41:pra:26.5:over,Jarrett Allen,pra,26.5,-123,PASS,-0.0516,0.2,26.5,0.5,,,UNKNOWN,,,,0,,0,,0
ada18546837dac41:pra:26.5:under,Jarrett Allen,pra,26.5,-105,PASS,-0.0122,0.2,26.5,0.5,,,UNKNOWN,,,,0,,0,,0
335aba9590921564:rebounds:4.5:over,Lonzo Ball,rebounds,4.5,122,PASS,0.0495,0.2,4.5,0.5,,,UNKNOWN,,,,0,,0,,0
335aba9590921564:rebounds:4.5:under,Lonzo Ball,rebounds,4.5,-159,PASS,-0.1139,0.2,4.5,0.5,,,UNKNOWN,,,,0,,0,,0
ada18546837dac41:rebounds:9.5:over,Jarrett Allen,rebounds,9.5,102,PASS,0.005,0.2,9.5,0.5,,,UNKNOWN,,,,0,,0,,0
ada18546837dac41:rebounds:9.5:under,Jarrett Allen,rebounds,9.5,-136,PASS,-0.0763,0.2,9.5,0.5,,,UNKNOWN,,,,0,,0,,0
0fcc97fb82556cb2:rebounds:6.5:over,Jaylon Tyson,rebounds,6.5,120,PASS,0.0455,0.2,6.5,0.5,,,UNKNOWN,,,,0,,0,,0
0fcc97fb82556cb2:rebounds:6.5:under,Jaylon Tyson,rebounds,6.5,-156,PASS,-0.1094,0.2,6.5,0.5,,,UNKNOWN,,,,0,,0,,0
d6fa084d1a037f96:rebounds:4.5:over,De'Andre Hunter,rebounds,4.5,130,PASS,-0.1291,0.3885,3.99,0.3057,,,FLAT,3.8,3.5,3.8666666666666667,0,,0,,0
d6fa084d1a037f96:rebounds:4.5:under,De'Andre Hunter,rebounds,4.5,-169,PASS,0.066,0.3885,3.99,0.6943,,,FLAT,3.8,3.5,3.8666666666666667,0,,0,,0
9ea8ae204f976e4e:threes:2.5:over,Sam Merrill,threes,2.5,158,PASS,0.1124,0.15,2.5,0.5,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
9ea8ae204f976e4e:threes:2.5:under,Sam Merrill,threes,2.5,-208,PASS,-0.1753,0.15,2.5,0.5,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:threes:2.5:over,Miles Bridges,threes,2.5,152,PASS,0.1032,0.2,2.5,0.5,,,UNKNOWN,,,,0,,0,,0
2a4f649870db0148:threes:2.5:under,Miles Bridges,threes,2.5,-200,PASS,-0.1667,0.2,2.5,0.5,,,UNKNOWN,,,,0,,0,,0
220e544c0e1716ed:points:29.5:over,Donovan Mitchell,points,29.5,-127,PASS,0.0062,0.15,30.77,0.5657,PROBABLE,NBA Official Report,FLAT,30.8,30.7,30.933333333333334,0,,0,,0
220e544c0e1716ed:points:29.5:under,Donovan Mitchell,points,29.5,-106,PASS,-0.0802,0.15,30.77,0.4343,PROBABLE,NBA Official Report,FLAT,30.8,30.7,30.933333333333334,0,,0,,0
54ada52701661023:assists:6.5:over,Andrew Nembhard,assists,6.5,104,PASS,0.0434,0.2,6.64,0.5336,,,UP,6.8,6.4,6.266666666666667,0,,0,,0
54ada52701661023:assists:6.5:under,Andrew Nembhard,assists,6.5,-137,PASS,-0.1117,0.2,6.64,0.4664,,,UP,6.8,6.4,6.266666666666667,0,,0,,0
0149249a4eb6cf3f:assists:3.5:over,Pascal Siakam,assists,3.5,115,PASS,0.0349,0.2,3.5,0.5,,,UNKNOWN,,,,0,,0,,0
0149249a4eb6cf3f:assists:3.5:under,Pascal Siakam,assists,3.5,-152,PASS,-0.1032,0.2,3.5,0.5,,,UNKNOWN,,,,0,,0,,0
195708c325c4c735:assists:5.5:over,Jaylen Brown,assists,5.5,-103,PASS,-0.0074,0.1,5.5,0.5,QUESTIONABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
195708c325c4c735:assists:5.5:under,Jaylen Brown,assists,5.5,-130,PASS,-0.0652,0.1,5.5,0.5,QUESTIONABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
8266cd61c58c9517:assists:5.5:over,Payton Pritchard,assists,5.5,-120,PASS,-0.0455,0.2,5.5,0.5,,,UNKNOWN,,,,0,,0,,0
