prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,raw_model_probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_std,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,team_out_detail,team_questionable_detail,team_probable_detail,usage_expectation,pick,odds,market_vig,edge_threshold,confidence_threshold,risk_factor,volatility_factor,volatility_ratio,odds_min,odds_max,odds_confidence_min,odds_confidence_max,confidence_cap_outside_band,reason,calibration_source,calibration_slope,calibration_intercept,injury_status,injury_source,injury_detail,odds_fetched_at,odds_source,base_rank,research_score,research_skip,research_notes,player_news_status,player_news_confidence,player_news_flags,player_news_notes,player_news_sources,team_news_status,team_news_confidence,team_news_flags,team_news_notes,team_news_sources,research_rank
41dce95d5a25acde:points:10.5:under,41dce95d5a25acde,Tyler Kolek,points,under,10.5,e71e83a0ab574fe87af5567ae09c0fdb,MIN,NYK,2025-12-24T01:10:00Z,,,,3,False,5.25,0.5625,0.8974,1.0,0.375,0.1625,0.65,MEDIUM,"{'minutes_trend': 1.15, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest, market divergence, confidence cap (odds band)",6.0,5.5,5.266666666666667,UP,4.143267631552018,0.9,0.9333333333333333,2,0,0,0,,,,Usage down,UNDER,150,0.0667,0.0324,0.3792,1.0,1.08,0.3946,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766525293.7435021,odds_api,3,22.025,False,edge 0.163 | confidence 0.65 | hit-rate 0.92 | trend up | volatility 0.39 (-1.9) | market divergence | extra rest | usage down (under boost) | price stretch,NO_NEWS,,,,,NO_NEWS,,,,,1
41dce95d5a25acde:pra:20.5:under,41dce95d5a25acde,Tyler Kolek,pra,under,20.5,e71e83a0ab574fe87af5567ae09c0fdb,MIN,NYK,2025-12-24T01:10:00Z,,,,3,False,11.17,0.5625,0.8649,1.0,0.375,0.1625,0.65,MEDIUM,"{'minutes_trend': 1.15, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest, high variance, market divergence, confidence cap (odds band)",13.4,11.3,10.066666666666666,UP,8.459708426811568,0.9,0.9333333333333333,2,0,0,0,,,,Usage down,UNDER,150,0.0667,0.0362,0.408,1.05,1.15,0.4127,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766525293.7435021,odds_api,4,21.663,False,edge 0.163 | confidence 0.65 | hit-rate 0.92 | trend up | volatility 0.41 (-2.3) | market divergence | extra rest | usage down (under boost) | price stretch,NO_NEWS,,,,,NO_NEWS,,,,,2
0a2f172fb3e225e2:points:15.5:over,0a2f172fb3e225e2,Jabari Smith Jr,points,over,15.5,aedd66eec65402eb926bb64dbbdb4634,LAC,HOU,2025-12-24T04:10:00Z,HOU,LAC,False,3,False,20.14,0.5737,0.9035,1.0,0.3909,0.157,0.65,MEDIUM,"{'minutes_trend': 1.0879, 'usage_trend': 1.0533, 'team_usage': 1.03, 'rest': 1.02, 'opp_def': 1.03, 'pace': 0.98}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, slow pace, market divergence, confidence cap (odds band)",17.2,16.5,16.133333333333333,UP,3.5668224265054493,0.6,0.5333333333333333,2,2,0,0,Dorian Finney-Smith (Injury/Illness - Left Ankle; Surgery); Fred VanVleet (Injury/Illness - Right Knee; ACL Repair),,,Usage up; Teammates OUT: 2,OVER,140,0.0658,0.03,0.36,1.0,1.0,0.2301,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766525293.7435021,odds_api,7,19.867,False,edge 0.157 | confidence 0.65 | hit-rate 0.57 | trend up | market divergence | extra rest | usage up (over boost) | price stretch,NO_NEWS,,,,,NO_NEWS,,,,,3
a7e02f8ba27f39c9:pra:13.5:over,a7e02f8ba27f39c9,Oso Ighodaro,pra,over,13.5,dbc7af91324284c433f0152b91bd9abb,PHX,LAL,2025-12-24T02:10:00Z,,,,4,False,17.65,0.5737,0.8165,1.0,0.3909,0.157,0.65,MEDIUM,"{'minutes_trend': 1.1313, 'usage_trend': 1.15, 'rest': 1.02}","minutes trend, usage trend, extra rest, market divergence, confidence cap (odds band)",15.0,13.4,12.0,UP,4.5995168828427575,0.6,0.4666666666666667,2,0,0,0,,,,Usage up,OVER,140,0.0658,0.034,0.3912,1.05,1.08,0.3407,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766525293.7435021,odds_api,6,19.533,False,edge 0.157 | confidence 0.65 | hit-rate 0.53 | trend up | market divergence | extra rest | usage up (over boost) | price stretch,NO_NEWS,,,,,NO_NEWS,,,,,4
75bb0beb4aef286b:points:15.5:over,75bb0beb4aef286b,Naji Marshall,points,over,15.5,e62dfd044e3b8f8719ab7bca8b7b389c,DAL,DEN,2025-12-24T01:10:00Z,DAL,DEN,True,2,False,18.22,0.5788,0.7929,1.0,0.3983,0.1533,0.65,MEDIUM,"{'minutes_trend': 1.0719, 'usage_trend': 1.0042, 'team_usage': 1.08, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), home, market divergence, confidence cap (odds band)",17.0,16.3,15.4,UP,3.334999583541537,0.6,0.5333333333333333,-1,5,5,0,Klay Thompson (Injury/Illness - Left Knee; Soreness); Max Christie (Injury/Illness - Illness; Illness); Dante Exum (Injury/Illness - Right Knee; Surgery); Kyrie Irving (Injury/Illness - Left Knee; Surgery); Dereck Lively II (Injury/Illness - Right Foot; Surgery),Brandon Williams (Injury/Illness - Right Ankle; Sprain); P.J. Washington (Injury/Illness - Right Midfoot; Soreness); Dwight Powell (Injury/Illness - Illness; Illness); Moussa Cisse (G League - Two-Way); Miles Kelly (G League - Two-Way),,Teammates OUT: 5; Teammates Q: 5,OVER,135,0.0684,0.03,0.36,1.0,1.0,0.2152,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766525293.7435021,odds_api,10,19.197,False,edge 0.153 | confidence 0.65 | hit-rate 0.57 | trend up | market divergence | usage up (over boost) | price outside core,NO_NEWS,,,,,NO_NEWS,,,,,5
615b46eca26afbfd:points:9.5:over,615b46eca26afbfd,Jonas Valanciunas,points,over,9.5,e62dfd044e3b8f8719ab7bca8b7b389c,DAL,DEN,2025-12-24T01:10:00Z,DEN,DAL,False,2,False,12.1,0.5625,0.875,1.0,0.375,0.1625,0.65,MEDIUM,"{'minutes_trend': 1.1196, 'usage_trend': 1.0696, 'team_usage': 1.045, 'injury_risk': 0.99, 'opp_def': 0.97}","minutes trend, usage trend, usage boost (injuries), injury caution, tough defense, market divergence, confidence cap (odds band)",11.0,9.7,9.133333333333333,UP,2.2632326929023945,0.4,0.3333333333333333,3,3,0,2,Tamar Bates (Injury/Illness - Left Foot; Surgery); Christian Braun (Injury/Illness - Left Ankle; Sprain); Aaron Gordon (Injury/Illness - Right Hamstring; Strain),,Peyton Watson (Injury/Illness - Right Trunk; Contusion); Jonas Valanciunas (Injury/Illness - Illness; Illness),Usage up; Teammates OUT: 3; Player status: PROBABLE,OVER,150,0.0667,0.03,0.36,1.0,1.0,0.2382,-150,150,-120,120,0.65,,global,1.7,-0.3,PROBABLE,NBA Official Report,Injury/Illness - Illness; Illness,1766525293.7435021,odds_api,1,17.417,False,edge 0.163 | confidence 0.65 | hit-rate 0.37 | trend up | market divergence | usage up (over boost) | price stretch,NO_NEWS,,,,,NO_NEWS,,,,,6
a3d663b91b6b6f21:rebounds:8.5:over,a3d663b91b6b6f21,Maxime Raynaud,rebounds,over,8.5,01c88e9888ab9344ed32a62b225d1599,SAC,DET,2025-12-24T03:10:00Z,,,,3,False,10.66,0.5711,0.7596,0.9913,0.3909,0.1544,0.65,MEDIUM,"{'minutes_trend': 1.15, 'usage_trend': 1.0787, 'rest': 1.02}","minutes trend, usage trend, extra rest, market divergence, confidence cap (odds band)",10.2,8.5,6.6,UP,3.064129385141706,0.5,0.3333333333333333,3,0,0,0,,,,Usage up,OVER,140,0.0658,0.0308,0.3672,0.95,1.08,0.3605,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766525293.7435021,odds_api,9,16.897,False,edge 0.154 | confidence 0.65 | hit-rate 0.42 | trend up | volatility 0.36 (-1.2) | market divergence | extra rest | usage up (over boost) | price stretch,NO_NEWS,,,,,NO_NEWS,,,,,7
ce02a0a873b2f402:rebounds:4.5:over,ce02a0a873b2f402,Carlton Carrington,rebounds,over,4.5,27f523bb13b709279a0c31dbfa2e2006,CHA,WAS,2025-12-24T00:10:00Z,,,,3,False,6.02,0.5823,0.783,1.0,0.4033,0.1549,0.65,MEDIUM,"{'minutes_trend': 1.15, 'usage_trend': 1.1122, 'rest': 1.02}","minutes trend, usage trend, extra rest, high variance, market divergence, confidence cap (odds band)",5.2,4.3,3.533333333333333,UP,1.946506842754191,0.5,0.3333333333333333,3,0,0,0,,,,Usage up,OVER,134,0.0597,0.0328,0.384,0.95,1.15,0.4326,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766525293.7435021,odds_api,8,16.205,False,edge 0.155 | confidence 0.65 | hit-rate 0.42 | trend up | volatility 0.43 (-2.7) | market divergence | extra rest | usage up (over boost) | price outside core,NO_NEWS,,,,,NO_NEWS,,,,,8
1245618580f0afa4:pra:24.5:under,1245618580f0afa4,Kyle Filipowski,pra,under,24.5,433a5462c6dbbed3ccc5d623dd68b61d,UTA,MEM,2025-12-24T02:10:00Z,,,,2,False,13.99,0.5625,0.8578,1.0,0.375,0.1625,0.65,MEDIUM,"{'minutes_trend': 0.934, 'usage_trend': 0.8916}","minutes trend, usage trend, high variance, market divergence, confidence cap (odds band)",16.0,20.8,20.0,DOWN,9.818350166906862,0.7,0.7333333333333333,3,0,0,0,,,,Usage down,UNDER,150,0.0667,0.0362,0.408,1.05,1.15,0.4007,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766525293.7435021,odds_api,5,14.903,False,edge 0.163 | confidence 0.65 | hit-rate 0.72 | trend down | volatility 0.40 (-2.0) | market divergence | usage down (under boost) | price stretch,NO_NEWS,,,,,NO_NEWS,,,,,9
b3399dcf2cc21d8d:points:23.5:under,b3399dcf2cc21d8d,Karl-Anthony Towns,points,under,23.5,e71e83a0ab574fe87af5567ae09c0fdb,MIN,NYK,2025-12-24T01:10:00Z,NYK,MIN,False,3,False,15.7,0.5625,0.7848,1.0,0.375,0.1625,0.65,MEDIUM,"{'minutes_trend': 0.9222, 'usage_trend': 0.85, 'team_usage': 1.075, 'rest': 1.02, 'opp_def': 0.97}","minutes trend, usage trend, usage boost (injuries), extra rest, tough defense, high variance, market divergence, confidence cap (odds band)",17.0,19.9,22.6,DOWN,9.893319856235205,0.7,0.6,2,5,0,0,OG Anunoby (Injury/Illness - Left Ankle; Soreness); Jalen Brunson (Injury/Illness - Right Ankle; Right Ankle Injury Management); Miles McBride (Injury/Illness - Left Ankle; Sprain); Landry Shamet (Injury/Illness - Right Shoulder; Sprain); Guerschon Yabusele (Injury/Illness - Illness; Illness),,,Usage down; Teammates OUT: 5,UNDER,150,0.0667,0.0345,0.396,1.0,1.15,0.421,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766525293.7435021,odds_api,2,12.83,False,edge 0.163 | confidence 0.65 | hit-rate 0.65 | trend down | volatility 0.42 (-2.4) | market divergence | extra rest | usage up (under penalty) | usage down (under boost) | price stretch,NO_NEWS,,,,,NO_NEWS,,,,,10
